,Longitude,Latitude,Crime,ethnicity,Legislation_simplified,Gender,Age range
106,-0.319933,51.567491,0,Asian,Drugs,Male,over 34
107,-0.058769,51.495926,1,White,Criminal Evidence Act,Male,10-17
108,-0.09697,51.38668,0,Not stated,Criminal Evidence Act,Male,over 34
109,-0.060573,51.499239,0,Not stated,Criminal Evidence Act,Male,10-17
110,-0.198947,51.666724,0,Asian,Drugs,Male,over 34
111,-0.466851,51.507735,0,White,Drugs,Male,18-24
112,-0.128156,51.470832,0,White,Criminal Evidence Act,Male,over 34
113,-0.248671,51.546782,0,Not stated,Drugs,Male,over 34
114,-0.09697,51.38668,1,White,Criminal Evidence Act,Male,18-24
115,-0.147839,51.492529,1,White,Drugs,Male,10-17
116,-0.130583,51.516769,0,White,Drugs,Male,over 34
117,-0.070566,51.603006,0,White,Criminal Evidence Act,Male,over 34
118,-0.220453,51.561402,0,White,Criminal Evidence Act,Male,25-34
119,0.018018,51.401573,0,White,Drugs,Male,over 34
120,-0.030993,51.53334,0,Not stated,Criminal Evidence Act,Male,Not stated
121,,,0,Black,Drugs,Female,25-34
122,-0.220453,51.561402,0,Black,Drugs,Male,25-34
123,,,1,Black,Drugs,Female,25-34
124,-0.043649,51.449318,1,Black,Drugs,Male,25-34
125,-0.043649,51.449318,0,White,Drugs,Male,25-34
126,-0.217676,51.558617,0,White,Criminal Evidence Act,Male,over 34
127,-0.043649,51.449318,1,Black,Drugs,Male,25-34
128,-0.148346,51.548245,0,White,Drugs,Male,25-34
129,-0.148346,51.548245,0,White,Drugs,Male,over 34
130,-0.353699,51.472696,0,Black,Drugs,Male,over 34
131,,,0,Asian,Criminal Evidence Act,Male,over 34
132,-0.031933,51.443312,0,Not stated,Criminal Evidence Act,Male,25-34
133,0.148494,51.561242,0,White,Criminal Evidence Act,Male,over 34
134,0.033084,51.533353,0,Black,Drugs,Male,over 34
135,0.033084,51.533353,0,White,Drugs,Male,25-34
136,-0.211248,51.591539,0,White,Criminal Evidence Act,Male,25-34
137,,,1,Asian,Drugs,Male,18-24
138,-0.211248,51.591539,0,White,Criminal Evidence Act,Male,25-34
139,-0.166045,51.521645,0,Not stated,Criminal Evidence Act,Male,25-34
140,-0.211248,51.591539,0,White,Criminal Evidence Act,Male,25-34
141,,,0,White,Drugs,Male,18-24
142,-0.046606,51.493305,0,Not stated,Drugs,Male,18-24
143,-0.135161,51.498551,0,White,Drugs,Male,18-24
144,-0.251088,51.599585,0,Black,Drugs,Female,over 34
145,-0.135161,51.498551,0,White,Drugs,Female,18-24
146,-0.135161,51.498551,1,Not stated,Drugs,Male,over 34
147,-0.193353,51.601561,0,White,Drugs,Male,over 34
148,0.033489,51.529515,0,Asian,Drugs,Male,25-34
149,-0.01068,51.463466,1,White,Drugs,Male,over 34
150,-0.250259,51.598233,0,White,Criminal Evidence Act,Female,10-17
151,0.033489,51.529515,0,Black,Drugs,Male,18-24
152,-0.101073,51.507212,0,Not stated,Criminal Evidence Act,Male,18-24
153,0.033489,51.529515,0,Asian,Drugs,Male,18-24
154,-0.251088,51.599585,0,White,Drugs,Male,over 34
155,-0.01068,51.463466,1,Black,Drugs,Male,25-34
156,-0.148346,51.548245,1,White,Drugs,Male,over 34
157,-0.131398,51.49297,1,Asian,Drugs,Male,18-24
158,-0.222768,51.534208,1,Not stated,Criminal Evidence Act,Male,25-34
159,-0.215775,51.529777,1,White,Criminal Evidence Act,Male,10-17
160,-0.137808,51.461885,0,White,Drugs,Male,25-34
161,-0.219643,51.534835,1,White,Criminal Evidence Act,Male,18-24
162,-0.060173,51.589032,1,Black,Drugs,Male,10-17
163,-0.018775,51.50291,1,White,Drugs,Male,18-24
164,-0.082657,51.374235,0,White,Drugs,Male,over 34
165,-0.082657,51.374235,0,Not stated,Drugs,Female,over 34
166,0.180078,51.479184,1,Not stated,Drugs,Not stated,Not stated
167,-0.254237,51.540013,0,White,Drugs,Male,over 34
168,-0.232619,51.372753,0,Not stated,Drugs,Male,18-24
169,-0.360176,51.46714,0,White,Drugs,Male,over 34
170,-0.360176,51.46714,0,White,Drugs,Male,over 34
171,0.028575,51.542217,0,Black,Drugs,Male,18-24
172,-0.374633,51.517716,0,Not stated,Drugs,Male,18-24
173,-0.374633,51.517716,0,Asian,Drugs,Male,18-24
174,-0.378342,51.519997,0,Asian,Drugs,Male,18-24
175,,,1,White,Drugs,Male,18-24
176,-0.254381,51.542281,0,White,Drugs,Female,over 34
177,0.041522,51.530842,0,White,Drugs,Male,25-34
178,0.070474,51.481908,0,White,Drugs,Female,over 34
179,-0.023483,51.570227,0,Black,Drugs,Male,Not stated
180,-0.103201,51.379182,0,Not stated,Drugs,Male,18-24
181,-0.023483,51.570227,0,White,Drugs,Male,25-34
182,-0.088901,51.505396,1,Not stated,Criminal Evidence Act,Male,10-17
183,-0.072353,51.53079,0,Asian,Drugs,Male,18-24
184,-0.103496,51.433917,1,White,Criminal Evidence Act,Male,25-34
185,-0.015908,51.562933,0,Other,Drugs,Male,10-17
186,0.040016,51.60066,1,Asian,Drugs,Male,18-24
187,0.041522,51.530842,0,Black,Drugs,Male,over 34
188,-0.125734,51.567112,0,Asian,Drugs,Male,18-24
189,-0.127068,51.567304,0,Not stated,Drugs,Male,18-24
190,-0.008131,51.578457,0,White,Criminal Evidence Act,Male,25-34
191,-0.178194,51.372738,0,Black,Criminal Evidence Act,Male,18-24
192,-0.178194,51.372738,0,Black,Criminal Evidence Act,Male,18-24
193,-0.127068,51.567304,1,White,Drugs,Male,18-24
194,-0.09769,51.363419,0,Not stated,Criminal Evidence Act,Male,10-17
195,-0.023483,51.570227,0,Mixed,Drugs,Male,18-24
196,-0.178194,51.372738,0,Black,Drugs,Male,10-17
197,-0.478108,51.546557,1,Black,Drugs,Male,18-24
198,-0.030748,51.367789,0,Black,Criminal Evidence Act,Male,10-17
199,0.048548,51.550539,1,White,Criminal Evidence Act,Female,25-34
200,0.051069,51.540531,1,White,Criminal Evidence Act,Female,over 34
201,,,1,White,Criminal Evidence Act,Male,over 34
202,0.048548,51.550539,1,White,Criminal Evidence Act,Male,25-34
203,,,0,White,Drugs,Female,25-34
204,-0.395961,51.473066,0,White,Drugs,Male,Not stated
205,,,0,Black,Drugs,Male,18-24
206,-0.112677,51.341278,0,White,Criminal Evidence Act,Male,10-17
207,,,1,Black,Drugs,Male,18-24
208,-0.112677,51.341278,0,Not stated,Criminal Evidence Act,Male,10-17
209,,,1,White,Drugs,Male,18-24
210,-0.18991,51.514525,0,Not stated,Criminal Evidence Act,Male,Not stated
211,0.072254,51.483693,0,White,Drugs,Male,over 34
212,0.072254,51.483693,0,White,Drugs,Male,over 34
213,-0.086404,51.494483,0,Black,Criminal Evidence Act,Male,18-24
214,-0.181785,51.487296,0,White,Drugs,Male,18-24
215,-0.206388,51.483565,0,White,Drugs,Male,25-34
216,0.214758,51.616395,1,Black,Drugs,Male,18-24
217,0.010559,51.538858,0,Asian,Criminal Evidence Act,Male,18-24
218,-0.186968,51.510946,0,Not stated,Criminal Evidence Act,Male,10-17
219,,,0,White,Criminal Evidence Act,Male,18-24
220,0.127765,51.56689,1,Black,Drugs,Male,25-34
221,,,0,White,Drugs,Male,10-17
222,-0.140827,51.556858,0,Black,Drugs,Male,18-24
223,-0.186968,51.510946,0,White,Criminal Evidence Act,Male,Not stated
224,,,0,Black,Drugs,Male,10-17
225,-0.254136,51.544931,0,Not stated,Drugs,Male,10-17
226,-0.07523,51.460821,0,White,Criminal Evidence Act,Male,over 34
227,-0.096642,51.394571,0,Not stated,Criminal Evidence Act,Male,10-17
228,,,0,White,Criminal Evidence Act,Male,18-24
229,0.082375,51.54015,1,White,Drugs,Male,over 34
230,-0.186621,51.365656,0,White,Drugs,Male,18-24
231,-0.029452,51.669722,0,Black,Drugs,Male,25-34
232,,,0,Black,Drugs,Female,over 34
233,-0.096869,51.422703,0,Black,Drugs,Male,18-24
234,-0.115429,51.470448,0,Not stated,Drugs,Male,Not stated
235,0.092518,51.486184,0,White,Drugs,Male,over 34
236,-0.145107,51.515111,0,Not stated,Drugs,Male,Not stated
237,-0.029452,51.669722,0,Black,Drugs,Male,18-24
238,-0.029452,51.669722,0,Black,Drugs,Male,18-24
239,-0.089444,51.425883,1,Black,Drugs,Male,18-24
240,-0.100216,51.493521,0,Black,Drugs,Male,18-24
241,-0.252619,51.543856,0,Black,Drugs,Male,over 34
242,0.018854,51.402601,0,Not stated,Drugs,Male,25-34
243,-0.038488,51.573321,1,White,Drugs,Male,25-34
244,-0.254381,51.542281,0,White,Drugs,Male,25-34
245,0.018854,51.402601,0,Not stated,Drugs,Male,over 34
246,-0.360176,51.46714,1,Black,Drugs,Male,25-34
247,-0.029452,51.669722,1,Not stated,Drugs,Male,18-24
248,0.016042,51.406984,0,Not stated,Drugs,Male,25-34
249,-0.098769,51.366494,1,Black,Drugs,Male,10-17
250,0.121119,51.494753,0,White,Drugs,Male,over 34
251,-0.009573,51.483609,1,Asian,Drugs,Male,25-34
252,-0.420186,51.504562,0,Not stated,Drugs,Male,25-34
253,-0.119895,51.53095,1,Not stated,Drugs,Male,over 34
254,0.092002,51.562659,0,Black,Drugs,Male,over 34
255,-0.167639,51.409308,1,Black,Drugs,Male,18-24
256,-0.113486,51.423988,0,Black,Drugs,Male,18-24
257,-0.091226,51.598308,0,White,Criminal Evidence Act,Male,10-17
258,-0.114433,51.468418,0,Mixed,Drugs,Male,10-17
259,-0.093628,51.505725,0,Asian,Drugs,Male,18-24
260,,,1,Not stated,Criminal Evidence Act,Not stated,Not stated
261,-0.259725,51.610846,0,Mixed,Drugs,Male,18-24
262,-0.08522,51.575963,0,Not stated,Criminal Evidence Act,Female,25-34
263,,,1,White,Criminal Evidence Act,Male,over 34
264,,,1,Black,Drugs,Male,18-24
265,0.147133,51.564819,0,White,Drugs,Male,10-17
266,0.170816,51.590373,1,White,Drugs,Male,25-34
267,0.14061,51.457204,0,White,Criminal Evidence Act,Male,Not stated
268,0.05331,51.492893,0,Black,Drugs,Male,18-24
269,,,0,White,Criminal Evidence Act,Male,10-17
270,,,0,White,Criminal Evidence Act,Male,18-24
271,0.010769,51.558656,0,White,Drugs,Male,over 34
272,-0.108321,51.52776,0,White,Criminal Evidence Act,Male,10-17
273,,,0,Asian,Drugs,Male,Not stated
274,-0.07523,51.460821,0,Black,Criminal Evidence Act,Male,over 34
275,-0.113486,51.423988,1,Asian,Drugs,Male,18-24
276,-0.179228,51.360083,1,White,Drugs,Male,18-24
277,-0.458607,51.490272,1,White,Drugs,Male,over 34
278,-0.088748,51.586479,1,White,Drugs,Male,over 34
279,,,0,Black,Drugs,Male,18-24
280,,,0,White,Drugs,Female,18-24
281,-0.046038,51.544976,0,Black,Drugs,Male,10-17
282,,,1,White,Drugs,Male,18-24
283,-0.373597,51.43749,1,White,Drugs,Male,18-24
284,-0.086663,51.536096,1,Black,Drugs,Male,10-17
285,-0.046038,51.544976,0,Not stated,Drugs,Male,10-17
286,-0.01375,51.575036,0,Black,Firearms,Male,over 34
287,,,1,Asian,Drugs,Male,18-24
288,-0.01375,51.575036,0,Black,Firearms,Male,over 34
289,-0.018772,51.468441,0,Mixed,Criminal Evidence Act,Male,18-24
290,-0.008131,51.578457,1,Black,Firearms,Male,18-24
291,-0.066811,51.518325,0,Asian,Drugs,Male,Not stated
292,-0.166606,51.555771,0,White,Criminal Evidence Act,Male,Not stated
293,-0.164659,51.555039,0,Mixed,Drugs,Male,18-24
294,-0.104274,51.601541,0,White,Drugs,Male,over 34
295,-0.146617,51.557085,0,White,Criminal Evidence Act,Male,over 34
296,-0.265247,51.600497,1,Not stated,Criminal Evidence Act,Male,10-17
297,-0.254136,51.544931,0,Black,Drugs,Male,25-34
298,-0.018772,51.468441,1,Black,Criminal Evidence Act,Male,25-34
299,-0.36496,51.475075,0,Not stated,Drugs,Male,Not stated
300,-0.019455,51.472931,0,Asian,Drugs,Male,25-34
301,0.006475,51.466303,0,Black,Drugs,Female,18-24
302,-0.005209,51.553875,0,White,Drugs,Male,over 34
303,-0.145786,51.474601,1,Black,Drugs,Male,10-17
304,-0.143707,51.488912,1,Other,Criminal Evidence Act,Male,18-24
305,,,0,Black,Criminal Evidence Act,Male,10-17
306,-0.005209,51.553875,0,Not stated,Drugs,Male,over 34
307,-0.331334,51.561539,0,Other,Drugs,Male,25-34
308,-0.143009,51.491203,1,Other,Criminal Evidence Act,Male,18-24
309,-0.215766,51.500506,0,Not stated,Drugs,Male,over 34
310,-0.216103,51.506635,0,Not stated,Drugs,Not stated,Not stated
311,-0.095537,51.605006,1,Black,Drugs,Male,18-24
312,-0.005209,51.553875,1,Black,Drugs,Male,over 34
313,-0.145133,51.554202,1,White,Drugs,Male,18-24
314,-0.140306,51.551221,0,Black,Drugs,Male,25-34
315,-0.140306,51.551221,0,Asian,Drugs,Male,25-34
316,-0.32534,51.532255,0,Not stated,Drugs,Male,18-24
317,-0.32534,51.532255,0,Not stated,Drugs,Male,18-24
318,-0.14378,51.489965,1,Not stated,Criminal Evidence Act,Male,25-34
319,-0.104274,51.601541,0,White,Drugs,Male,25-34
320,,,0,Not stated,Drugs,Male,Not stated
321,,,0,Not stated,Drugs,Male,18-24
322,,,0,Not stated,Drugs,Male,18-24
323,0.070987,51.558994,0,Asian,Drugs,Male,18-24
324,-0.335518,51.557192,0,Not stated,Drugs,Male,18-24
325,-0.073938,51.520564,0,Asian,Criminal Evidence Act,Male,18-24
326,-0.32534,51.532255,0,Black,Drugs,Male,18-24
327,-0.03958,51.510004,0,Not stated,Drugs,Male,25-34
328,-0.272714,51.54865,0,Black,Criminal Evidence Act,Male,Not stated
329,-0.017468,51.554596,1,Not stated,Drugs,Not stated,Not stated
330,-0.221599,51.547913,0,White,Criminal Evidence Act,Male,25-34
331,-0.249943,51.564741,0,White,Drugs,Male,over 34
332,0.013831,51.569197,1,Black,Drugs,Male,18-24
333,-0.017468,51.554596,1,Black,Criminal Evidence Act,Male,25-34
334,-0.354586,51.518857,0,Not stated,Drugs,Not stated,Not stated
335,-0.119623,51.447603,0,Not stated,Firearms,Male,25-34
336,,,0,White,Criminal Evidence Act,Male,18-24
337,-0.10699,51.464584,0,Black,Drugs,Male,18-24
338,-0.473717,51.543739,1,White,Criminal Evidence Act,Female,18-24
339,-0.152127,51.4873,0,White,Drugs,Male,18-24
340,-0.258743,51.54437,0,White,Criminal Evidence Act,Male,25-34
341,-0.087,51.533557,0,Black,Criminal Evidence Act,Male,18-24
342,0.120975,51.562993,1,White,Criminal Evidence Act,Male,over 34
343,-0.03958,51.510004,1,Not stated,Drugs,Male,18-24
344,-0.024378,51.531278,0,White,Criminal Evidence Act,Male,10-17
345,-0.102866,51.589936,1,Mixed,Drugs,Male,over 34
346,-0.174952,51.467217,0,Black,Drugs,Male,18-24
347,0.021866,51.435032,1,Black,Drugs,Male,18-24
348,-0.345177,51.533499,1,Not stated,Drugs,Male,10-17
349,0.068694,51.554574,1,Asian,Drugs,Male,over 34
350,,,1,White,Criminal Evidence Act,Male,18-24
351,-0.024559,51.430455,1,Not stated,Drugs,Male,25-34
352,-0.344426,51.532337,0,Not stated,Drugs,Male,18-24
353,-0.420027,51.505423,0,White,Drugs,Male,10-17
354,-0.137128,51.526639,0,White,Drugs,Male,over 34
355,-0.084024,51.484229,1,Black,Criminal Evidence Act,Male,10-17
356,-0.351804,51.543628,1,Black,Drugs,Male,18-24
357,-0.254136,51.544931,1,Black,Drugs,Male,18-24
358,-0.009547,51.469652,1,Black,Drugs,Male,10-17
359,-0.005613,51.472364,1,Black,Drugs,Male,18-24
360,-0.008988,51.467934,0,Black,Drugs,Male,18-24
361,,,0,Mixed,Drugs,Male,18-24
362,-0.104652,51.594192,1,Mixed,Drugs,Male,25-34
363,-0.482711,51.532157,0,Not stated,Drugs,Male,over 34
364,-0.179695,51.496004,0,Mixed,Drugs,Male,18-24
365,-0.179695,51.496004,1,Black,Drugs,Male,18-24
366,-0.174707,51.535754,1,Not stated,Drugs,Not stated,Not stated
367,,,0,Asian,Drugs,Male,25-34
368,,,0,Asian,Criminal Evidence Act,Male,over 34
369,-0.095647,51.459347,0,Black,Drugs,Male,25-34
370,-0.131179,51.509962,0,Asian,Drugs,Male,Not stated
371,,,1,Not stated,Drugs,Male,25-34
372,-0.326785,51.534911,0,Asian,Drugs,Male,18-24
373,-0.178757,51.430578,1,White,Criminal Evidence Act,Male,over 34
374,,,0,Asian,Drugs,Male,18-24
375,-0.11391,51.612577,0,Not stated,Criminal Evidence Act,Male,over 34
376,-0.02278,51.351657,1,Black,Firearms,Male,Not stated
377,0.222894,51.591916,1,White,Drugs,Male,over 34
378,-0.161425,51.477078,0,Not stated,Criminal Evidence Act,Male,10-17
379,-0.02278,51.351657,0,Black,Firearms,Male,Not stated
380,,,1,Asian,Drugs,Female,18-24
381,-0.161533,51.479759,0,Not stated,Criminal Evidence Act,Male,10-17
382,-0.133265,51.475482,1,Black,Criminal Evidence Act,Male,10-17
383,-0.030748,51.367789,0,Not stated,Criminal Evidence Act,Male,10-17
384,,,0,Not stated,Criminal Evidence Act,Male,Not stated
385,-0.144265,51.513839,1,Black,Drugs,Female,25-34
386,-0.021722,51.446837,0,White,Drugs,Male,over 34
387,,,0,Not stated,Criminal Evidence Act,Male,Not stated
388,,,0,Not stated,Criminal Evidence Act,Male,Not stated
389,-0.106307,51.593625,1,Not stated,Drugs,Male,25-34
390,-0.021722,51.446837,0,White,Drugs,Male,25-34
391,-0.02924,51.369122,0,Not stated,Criminal Evidence Act,Male,Not stated
392,-0.030748,51.367789,0,Not stated,Criminal Evidence Act,Male,18-24
393,-0.361762,51.464662,0,White,Drugs,Male,over 34
394,-0.288963,51.592248,1,Black,Criminal Evidence Act,Male,Not stated
395,0.108055,51.495438,0,Not stated,Criminal Evidence Act,Male,10-17
396,-0.245186,51.493406,0,Not stated,Drugs,Male,18-24
397,-0.263374,51.603401,0,Black,Drugs,Male,25-34
398,0.26485,51.609036,0,White,Drugs,Female,18-24
399,,,1,White,Drugs,Male,18-24
400,-0.376859,51.498062,0,Asian,Drugs,Male,Not stated
401,-0.267869,51.601012,0,Black,Criminal Evidence Act,Male,10-17
402,0.092999,51.485672,0,Black,Drugs,Female,over 34
403,-0.110754,51.523294,0,White,Criminal Evidence Act,Male,10-17
404,-0.274025,51.522411,1,Black,Criminal Evidence Act,Male,over 34
405,-0.353799,51.506311,0,Asian,Drugs,Male,18-24
406,,,1,Asian,Drugs,Male,18-24
407,0.092518,51.486184,0,White,Drugs,Female,over 34
408,-0.288963,51.592248,0,Black,Criminal Evidence Act,Male,Not stated
409,-0.288963,51.592248,0,Black,Criminal Evidence Act,Male,18-24
410,-0.288963,51.592248,0,Black,Criminal Evidence Act,Male,Not stated
411,,,0,White,Drugs,Male,10-17
412,,,0,Not stated,Drugs,Female,10-17
413,-0.331334,51.561539,0,Not stated,Drugs,Male,18-24
414,,,0,Not stated,Criminal Evidence Act,Male,Not stated
415,-0.008131,51.578457,1,Black,Criminal Evidence Act,Male,25-34
416,-0.098088,51.494817,0,Black,Criminal Evidence Act,Male,10-17
417,0.217423,51.594007,1,Not stated,Drugs,Not stated,Not stated
418,-0.098088,51.494817,0,Not stated,Criminal Evidence Act,Male,18-24
419,,,0,Black,Criminal Evidence Act,Male,18-24
420,0.016074,51.418486,1,White,Criminal Evidence Act,Male,over 34
421,,,0,Not stated,Criminal Evidence Act,Male,Not stated
422,,,0,Not stated,Criminal Evidence Act,Male,Not stated
423,,,0,Not stated,Criminal Evidence Act,Male,Not stated
424,,,0,White,Criminal Evidence Act,Male,over 34
425,,,0,Black,Drugs,Male,25-34
426,-0.331334,51.561539,0,Not stated,Criminal Evidence Act,Male,18-24
427,-0.241576,51.532927,0,Black,Criminal Evidence Act,Male,Not stated
428,-0.098088,51.494817,0,Mixed,Criminal Evidence Act,Male,18-24
429,-0.112746,51.604088,1,Black,Drugs,Male,18-24
430,-0.112746,51.604088,1,White,Drugs,Male,18-24
431,0.00368,51.458356,0,Not stated,Public Order Act,Male,Not stated
432,0.00368,51.458356,0,Asian,Public Order Act,Male,over 34
433,0.00368,51.458356,0,Not stated,Public Order Act,Not stated,Not stated
434,-0.10008,51.373008,0,Not stated,Criminal Evidence Act,Male,25-34
435,,,0,Not stated,Criminal Evidence Act,Male,Not stated
436,-0.372779,51.499355,1,Black,Drugs,Male,18-24
437,0.055153,51.490964,0,Black,Criminal Evidence Act,Male,10-17
438,0.180078,51.479184,1,Mixed,Drugs,Male,18-24
439,-0.129355,51.461931,0,White,Drugs,Male,over 34
440,-0.43758,51.455589,0,Asian,Drugs,Male,25-34
441,-0.129355,51.461931,0,White,Drugs,Male,25-34
442,,,0,White,Drugs,Male,25-34
443,-0.26643,51.600901,0,Black,Drugs,Male,10-17
